id;course_title;course_description;course_objectives;course_sub_title;preview_videourl;course_length;logo;course_created_on;course_updated_on;course_root_dir;amount;is_draft;is_approved;course_approval_date
1;Dollar Peru Innovative;infomediaries Specialist;Fantastic;open-source;Sausages niches synthesizing;87978;Tasty;2021-06-25;2021-06-26;Zloty Iraq;22624;true;false;2021-06-26
2;Arizona;Extensions reboot Harbors;Idaho;Bedfordshire override EXE;Steel Concrete Table;5375;ROI;2021-06-26;2021-06-26;repurpose;48781;true;true;2021-06-26
3;Games Kids Burundi;Stravenue invoice;relationships Bhutan;Turkey;Product neural-net Avon;7065;green;2021-06-26;2021-06-26;fuchsia solution;64197;true;true;2021-06-26
4;primary Rubber U.S.;Danish Pants;application;programming leading-edge;Fantastic pink Soft;74652;Data JBOD;2021-06-26;2021-06-26;Kids global Small;29995;false;true;2021-06-26
5;up;Account generating emulation;grey Pre-emptive capacitor;hack upward-trending Rubber;Tools orange;51810;streamline Turnpike granular;2021-06-26;2021-06-26;eco-centric adapter;50855;true;true;2021-06-26
6;Tasty;generating orchid;CSS Lebanese Product;drive;Licensed;55729;Cambridgeshire;2021-06-25;2021-06-26;interface copy asymmetric;44060;true;true;2021-06-26
7;Cambridgeshire Shoes;Refined CSS;protocol Movies primary;applications;blue Tuna;75762;Rustic;2021-06-26;2021-06-26;Maine even-keeled;31050;true;true;2021-06-26
8;Account;bandwidth;copying;purple Unbranded Tactics;Jersey Profound;46967;withdrawal Marketing 1080p;2021-06-26;2021-06-25;transmitting digital Rubber;76659;false;true;2021-06-25
9;Metal collaborative;Sports salmon;Cambridgeshire Underpass;Berkshire Outdoors;Chief Buckinghamshire;74864;Uruguayo Frozen initiatives;2021-06-26;2021-06-26;Integration enable Walk;68921;false;false;2021-06-26
10;withdrawal;Hawaii;Mobility;Tuna payment auxiliary;Table local;6657;Intelligent;2021-06-26;2021-06-26;invoice solutions;7619;true;false;2021-06-25
