id;course_category_title;logo;is_parent;parent_id
1;convergence;Buckinghamshire;6741;25890
2;Cheese dynamic;streamline lime override;81450;1042
3;superstructure ADP;Manager;79265;30214
4;azure;Keyboard granular set;10132;13388
5;circuit Texas Steel;Wooden Mauritius auxiliary;53418;96106
6;Cambridgeshire Shirt;overriding Home;97615;84247
7;Sausages services;Unbranded violet visualize;70020;68669
8;Front-line;bypassing;74862;61505
9;digital;deposit;66504;45717
10;intermediate 1080p;alarm Open-architected;17360;89345
