id;section_title;section_description;section_order;is_draft;is_approved
1;JSON Lead;protocol;90891;false;false
2;GB 1080p;Supervisor COM Forge;7174;false;true
3;lavender Awesome;calculate IB;49007;true;true
4;up;visionary;4971;true;true
5;scale Dobra Loan;Rest Director Plastic;30264;true;false
6;Jewelery synthesizing expedite;programming Cambridgeshire;41137;false;true
7;synthesizing;transmit withdrawal;94007;true;true
8;invoice;Awesome benchmark;62840;true;true
9;Buckinghamshire online Fresh;open-source lime Executive;21678;true;false
10;quantifying Ergonomic;pink Dirham withdrawal;58941;false;true
