id;session_title;session_description;session_video;session_duration;session_order;session_resource;session_location;is_preview;is_draft;is_approved;is_published
1;deposit;synthesizing;value-added Gloves Islands,;2021-06-26T00:55:04;50528;Applications Madagascar;back-end;true;true;true;true
2;bandwidth;web-enabled;collaboration Borders;2021-06-26T03:19:56;86305;Steel Intelligent;lavender compress Brand;false;true;false;true
3;Marshall;Cambridgeshire Tennessee;Cove firmware copy;2021-06-26T00:58:42;17371;and Supervisor;Movies Reactive;true;true;false;true
4;well-modulated;Home Ecuador holistic;Ergonomic Industrial;2021-06-26T05:39:57;46088;program Concrete;International;false;false;true;true
5;Card;multi-byte;Solutions TCP Business-focused;2021-06-26T03:19:15;80820;Michigan Minnesota;grey;true;false;true;false
6;Computer;Ergonomic Mouse card;Oklahoma Legacy;2021-06-26T14:36:40;68610;implement withdrawal;withdrawal grow;false;true;true;true
7;Lakes Multi-lateral facilitate;Tactics;customized Massachusetts;2021-06-26T03:08:15;81434;Oregon compelling hacking;cross-platform Equatorial Account;true;false;true;true
8;Vision-oriented convergence;SAS;Accountability;2021-06-26T03:22:02;36791;Verde Cambridgeshire Internal;Buckinghamshire Solutions Franc;false;true;false;false
9;Group;Executive generating;Cape platforms quantifying;2021-06-26T15:05:55;50874;capacitor Realigned;wireless;false;false;false;false
10;Gorgeous Pound client-server;payment;Multi-layered Future;2021-06-26T06:18:06;1405;Vietnam real-time Up-sized;Rustic;true;true;false;false
