id;course_id;user_id;last_visited_date;course_visited_count
1;49;34;2021-12-10 01:52:16;27
2;33;56;2021-12-17 09:48:03;49
3;49;55;2021-12-06 07:10:59;47
4;33;37;2021-12-23 17:41:07;36
5;11;35;2021-12-25 17:20:09;28
6;24;26;2021-12-08 04:12:04;33
7;11;50;2021-12-01 10:51:21;21
8;63;35;2021-12-10 16:38:01;32
9;57;28;2021-12-21 11:54:10;37
10;29;53;2021-12-11 17:54:31;40
11;36;27;2021-12-08 16:07:53;35
12;24;7;2021-12-26 04:19:20;42
13;21;53;2021-12-11 05:52:30;26
14;9;32;2021-12-12 10:01:20;22
15;35;53;2021-12-20 02:38:52;41
16;35;35;2021-12-15 18:58:15;46
17;63;9;2021-12-11 16:19:08;35
18;35;27;2021-12-13 07:11:04;39
19;9;34;2021-12-05 12:38:15;33
20;56;24;2021-12-11 04:50:25;34
21;54;54;2021-12-08 22:00:06;50
22;60;54;2021-12-21 14:07:54;31
23;24;4;2021-12-14 20:00:53;43
24;45;17;2021-12-04 16:22:09;23
25;21;15;2021-12-23 19:32:34;29
26;44;25;2021-12-02 06:11:13;40
27;9;6;2021-12-24 16:59:24;26
28;24;55;2021-12-23 00:33:56;23
29;46;26;2021-12-23 05:28:07;36
30;7;35;2021-12-06 15:45:56;40
31;46;23;2021-12-02 15:32:50;41
32;38;40;2021-12-15 19:00:15;29
33;62;42;2021-12-18 01:11:12;26
34;33;54;2021-12-01 23:40:32;45
35;33;39;2021-12-01 00:26:55;34
36;9;49;2021-12-10 22:26:25;50
37;29;42;2021-12-12 17:13:26;22
38;46;48;2021-12-01 18:26:22;33
39;48;10;2021-12-05 19:20:49;41
40;9;56;2021-12-19 11:56:27;24
41;10;5;2021-12-03 10:20:27;45
42;5;49;2021-12-22 08:44:50;23
43;19;39;2021-12-01 03:11:03;38
44;41;54;2021-12-23 13:39:56;20
45;63;27;2021-12-17 03:37:14;20
46;6;32;2021-12-09 01:43:12;44
47;21;39;2021-12-11 17:25:55;42
48;46;9;2021-12-03 10:00:22;27
